Customer_ID,recent,count,spent,R_Quartile,F_Quartile,M_Quartile,RCSClass
5496,152.0,4,176688,1,1,1,111
5497,121.0,3,248054,1,2,1,121
5498,91.0,2,166980,1,3,1,131
5499,60.0,1,227480,1,4,1,141
5500,30.0,2,125067,1,3,2,132
5501,352.0,2,129744,2,3,1,231
5502,351.0,1,233953,2,4,1,241
5503,350.0,4,158311,2,1,1,211
5504,349.0,2,121733,2,3,2,232
5505,348.0,2,121229,2,3,2,232
5506,347.0,2,123441,2,3,2,232
5507,346.0,3,199213,2,2,1,221
5508,345.0,3,159536,2,2,1,221
5509,344.0,4,164622,2,1,1,211
5510,343.0,3,145626,2,2,1,221
5511,342.0,3,235504,2,2,1,221
5512,341.0,4,143223,2,1,1,211
5513,340.0,1,164071,2,4,1,241
5514,339.0,1,123338,2,4,2,242
5515,290.0,2,140219,2,3,1,231
5516,243.0,1,155396,2,4,1,241
5517,67.0,1,154541,1,4,1,141
5518,95.0,3,142336,1,2,1,121
5519,354.0,1,143087,2,4,1,241
5520,236.0,1,133129,2,4,1,241
5521,94.0,3,146800,1,2,1,121
5522,130.0,3,126726,1,2,2,122
5523,166.0,1,122406,1,4,2,142
5524,30.0,4,232463,1,1,1,111
5525,248.0,1,180028,2,4,1,241
5526,109.0,4,155633,1,1,1,111
5527,19.0,2,121971,1,3,2,132
5528,288.0,1,127566,2,4,2,242
5529,202.0,1,141993,1,4,1,141
5530,352.0,1,244232,2,4,1,241
5531,177.0,2,126613,1,3,2,132
5532,333.0,3,196586,2,2,1,221
5533,265.0,4,150360,2,1,1,211
5534,121.0,4,145827,1,1,1,111
5535,79.0,2,149521,1,3,1,131
5536,234.0,1,144461,2,4,1,241
5537,113.0,4,170745,1,1,1,111
5538,297.0,2,130606,2,3,1,231
5539,299.0,3,197107,2,2,1,221
5540,192.0,3,230208,1,2,1,121
5541,357.0,4,190178,2,1,1,211
5542,84.0,2,121417,1,3,2,132
5543,16.0,1,143967,1,4,1,141
5544,343.0,1,132009,2,4,1,241
5545,317.0,4,148317,2,1,1,211
